round,accuracy_nash,accuracy_baseline
0,0.9000,0.9000
1,0.8496,0.7939
2,0.8162,0.7236
3,0.7766,0.6480
4,0.7850,0.6331
5,0.7760,0.6204
6,0.7940,0.5890
7,0.7861,0.5525
8,0.8020,0.4772
9,0.7590,0.4560
10,0.7786,0.4838
11,0.7238,0.4937
12,0.7334,0.4945
13,0.7177,0.5154
14,0.7205,0.4946
15,0.7274,0.4656
16,0.7516,0.5050
17,0.7327,0.5515
18,0.7491,0.5127
19,0.7490,0.5267
20,0.7360,0.4984
21,0.7162,0.4579
22,0.7134,0.4522
23,0.6567,0.4791
24,0.6894,0.4913
25,0.7075,0.4796
26,0.6932,0.5087
27,0.7068,0.4622
28,0.7399,0.4265
29,0.7248,0.4413
30,0.6878,0.4693
31,0.7018,0.4849
32,0.7295,0.5176
33,0.7509,0.5305
34,0.7044,0.5316
35,0.7410,0.5363
36,0.7449,0.5124
37,0.7102,0.5183
38,0.7135,0.4986
39,0.7372,0.4786
40,0.7444,0.4861
41,0.7469,0.4819
42,0.7510,0.4956
43,0.7333,0.5141
44,0.7251,0.4856
45,0.7385,0.5121
46,0.7379,0.5136
47,0.7413,0.5162
48,0.7237,0.5337
49,0.6951,0.4933
50,0.6978,0.4967
